1756489688232197500,RUN_META,"config=unsaved,mode=GUI,app=RBciAD"
1756489688233863200,CPU_MEM,"cpu=0.0,rss_mb=267"
1756489688234235900,RUN_BEGIN,path=runs\20250829_184808.csv
1756489688234496500,START_TTFP,
1756489688735471500,CPU_MEM,"cpu=1.6,rss_mb=267"
1756489688742284500,RENDER_STATS,"fps=0.00,dropped_frames=0,total_frames=0,dropped_frames_pct=0.00,throughput_sps=0"
1756489689237883500,CPU_MEM,"cpu=30.2,rss_mb=267"
1756489689739363700,CPU_MEM,"cpu=12.8,rss_mb=267"
1756489690240644800,CPU_MEM,"cpu=6.8,rss_mb=267"
1756489690741868500,CPU_MEM,"cpu=5.0,rss_mb=267"
1756489690742334200,RENDER_STATS,"fps=0.00,dropped_frames=0,total_frames=0,dropped_frames_pct=0.00,throughput_sps=0"
1756489691244449800,CPU_MEM,"cpu=29.2,rss_mb=270"
1756489691750183600,CPU_MEM,"cpu=7.8,rss_mb=270"
1756489692251366300,CPU_MEM,"cpu=0.8,rss_mb=270"
1756489692743696700,RENDER_STATS,"fps=0.00,dropped_frames=0,total_frames=0,dropped_frames_pct=0.00,throughput_sps=0"
1756489692753264600,CPU_MEM,"cpu=12.1,rss_mb=270"
1756489693255536400,CPU_MEM,"cpu=5.1,rss_mb=270"
1756489693649617400,RAW_IN,"fs=160.0,n_ch=64,n=9760"
1756489693661816700,FILTER_START,"enable_hp=True,hp=0.5,enable_lp=True,lp=45.0,enable_notch=True,notch_freqs=[50.0],method=fir,phase=zero,in_place=False,picks=all,fir_taps=531,group=fir"
1756489693662471700,START_TTFP,
1756489693732261900,TTFP,ttfp_s=0.08013550005853176
1756489693765440200,CPU_MEM,"cpu=33.6,rss_mb=268"
1756489693813570600,FRAME_RENDERED,lat_ms=79.73029999993742
1756489693813995100,CPU_MEM,"cpu=7.8,rss_mb=268"
1756489693815357800,FILTER_FAIL,"group=fir,error=The requested filter length 531 is too short for the requested 0.25 Hz transition band; which requires 1057 samples"
1756489693940996400,FRAME_RENDERED,lat_ms=52.93640005402267
1756489694070718200,FRAME_RENDERED,lat_ms=56.10250006429851
1756489694197751800,FRAME_RENDERED,lat_ms=49.68010005541146
1756489694281269600,CPU_MEM,"cpu=12.6,rss_mb=268"
1756489694332679700,FRAME_RENDERED,lat_ms=57.83930001780391
1756489694458348200,FRAME_RENDERED,lat_ms=50.687799928709865
1756489694591764500,FRAME_RENDERED,lat_ms=57.24510014988482
1756489694721045500,FRAME_RENDERED,lat_ms=51.628399873152375
1756489694803100200,CPU_MEM,"cpu=15.8,rss_mb=268"
1756489694855880600,FRAME_RENDERED,lat_ms=55.196400033310056
1756489694856285400,CPU_MEM,"cpu=14.3,rss_mb=268"
1756489694857130800,RENDER_STATS,"fps=4.26,dropped_frames=0,total_frames=9,dropped_frames_pct=0.00,throughput_sps=218084"
1756489694982080600,FRAME_RENDERED,lat_ms=51.04519985616207
1756489695115207800,FRAME_RENDERED,lat_ms=58.40870016254485
1756489695240945900,FRAME_RENDERED,lat_ms=50.313400104641914
1756489695323763300,CPU_MEM,"cpu=14.5,rss_mb=268"
1756489695375931600,FRAME_RENDERED,lat_ms=56.201300118118525
1756489695501210300,FRAME_RENDERED,lat_ms=50.769299967214465
1756489695635033100,FRAME_RENDERED,lat_ms=55.65429991111159
1756489695762185800,FRAME_RENDERED,lat_ms=50.90019991621375
1756489695851455200,CPU_MEM,"cpu=17.3,rss_mb=268"
1756489695903474400,FRAME_RENDERED,lat_ms=62.210600124672055
1756489695903864000,CPU_MEM,"cpu=16.0,rss_mb=268"
1756489696113971700,FRAME_RENDERED,lat_ms=135.80080005340278
1756489696242070400,FRAME_RENDERED,lat_ms=54.037399822846055
1756489696356315900,CPU_MEM,"cpu=13.1,rss_mb=268"
1756489696365511300,FRAME_RENDERED,lat_ms=49.532300094142556
1756489696495127500,FRAME_RENDERED,lat_ms=55.81789999268949
